unique_id,ds,current_1_stack,room_temperature,h2_side_outlet_temp_1_stack,o2_side_outlet_temp_1_stack,lye_supply_to_electrolyzer_temp,lye_concentration,dm_water_conductivity,lye_flow_to_1_stack,dm_water_flow_from_b_l,o2_separator_level,ldi_h2_o2_separator,pressure_o2_separator,o2_content_in_h2,h2_content_in_o2,h2_flowrate_purification_outlet,minute,hour,dayofweek,is_weekend,power_intensity
stack1_h2_separator_level,2025-01-01 00:44:00,0.0,25.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:45:00,0.0,24.5,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:46:00,0.0,25.0,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:47:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:48:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:49:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:50:00,0.0,24.5,24.5,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:51:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:52:00,0.0,24.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:53:00,0.0,24.5,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:54:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:55:00,0.0,24.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:56:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:57:00,0.0,25.5,25.5,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:58:00,0.0,25.5,25.5,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:59:00,0.0,25.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:00:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:01:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:02:00,0.0,24.5,24.5,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:03:00,0.0,25.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:04:00,0.0,24.25,24.25,24.25,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:05:00,0.0,24.75,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:06:00,0.0,24.75,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:07:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:08:00,0.0,24.5,24.5,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:09:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:10:00,0.0,24.75,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:11:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:12:00,0.0,24.75,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,0,0.0
stack1_h2_separator_level,2025-01-01 01:13:00,0.0,25.25,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,2,0,0.0
